"","duid","mean_lmp","lat","lon"
"169","URANQ14",-958.405275334897,-35.179395,147.215692
"170","VP5",-1786.85707634409,-33.160745,151.543146
"171","VP6",-1786.85707634409,-33.160745,151.543146
"172","W/HOE#1",211.53527027451,-27.395212,152.609153
"173","W/HOE#2",211.53527027451,-27.395212,152.609153
"174","WATERLWF",-19756.0908994408,-34.00035762,138.9153189
"175","WKIEWA1",-11.7055314997218,-41.811573,146.919038
"176","WKIEWA2",-11.7055314997218,-36.760066,147.186048
"177","WOODLWN1",89.3539735785178,-35.0860597,149.5716058
"178","YABULU",1631.20737776674,-19.201056,146.618707
"179","YABULU2",1631.197064937,-19.201056,146.618707
"180","YWPS1",-429.851381969931,-38.177015,146.342783
"181","YWPS2",-192.048567601411,-38.177015,146.342783
"182","YWPS3",-191.995346776734,-38.177015,146.342783
"183","YWPS4",-191.995346776734,-38.177015,146.342783
"184","BOCORWF1",65.3237666262435,-36.59141422,149.1296751
"185","TARALGA1",69.6811494879745,-34.427076,149.85764
"186","NYNGAN1",-1827.67502904044,-31.55274036,147.085352
"187","BALDHWF1",-35.0685566953341,-38.7908,145.9277
"188","LNGS1",16.2339894319485,-37.84158,144.788711
"189","LNGS2",16.2339894319485,-37.84158,144.788711
"190","VPGS1",-60.0774039184045,-38.253622,146.589166
"191","VPGS2",-60.0774039184045,-38.253622,146.589166
"192","VPGS3",-60.0774039184045,-38.253622,146.589166
"193","VPGS4",-60.0774039184045,-38.253622,146.589166
"194","VPGS5",-60.0774039184045,-38.253622,146.589166
"195","VPGS6",-60.0774039184045,-38.253622,146.589166
"196","BROKENH1",-733.396122457408,-31.98670743,141.3915455
"197","MOREESF1",750.876897423248,-29.569,149.867
"198","ANGAST1",56.5970362112247,-34.50348,139.024537
"199","HDWF1",-1438.92436256638,-33.042878,138.556285
"200","HDWF2",-832.42219582661,-33.042878,138.556285
