duid,profit_lmp,profit_lmp_mc,profit_rrp,type,station,fuel_type,schedule_type,region
LYA3,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA4,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
MACARTH1,193584.467538,177394.444786333,185916.339906,Gen,Macarthur Wind Farm,Wind,Semi-scheduled,VIC
MACKAYGT,128061.506323,-13571.5054218963,105246.192707,Gen,Mackay,Liquid Fuel,Scheduled,QLD
MACKNTSH,270152.120092,249849.29455285,264590.034752,Gen,Mackintosh,Hydro,Scheduled,TAS
MANSLR1,88410.597578,88195.934358,88703.045594,Gen,Manildra Solar Farm,Solar,Semi-scheduled,NSW
MCKAY1,147262.478095,132811.771736159,185916.339906,Gen,McKay,Hydro,Scheduled,VIC
MEADOWBK,287341.062499,265699.141539497,264590.034752,Gen,Meadowbank,Hydro,Scheduled,TAS
MERCER01,198433.869384,177067.709880606,185916.339906,Gen,Mt Mercer Wind Farm,Wind,Semi-scheduled,VIC
MEWF1,168728.925377,64661.0818174488,105246.192707,Gen,Mount Emerald Wind Farm,Wind,Semi-scheduled,QLD
MINTARO,294663.590991,149145.514317284,282293.884433,Gen,Mintaro,Gas,Scheduled,SA
MOREESF1,94973.61616,89426.71055,88703.045594,Gen,Moree Solar Farm,Solar,Semi-scheduled,NSW
MORTLK11,192217.21786,143144.011318158,185916.339906,Gen,Mortlake,Gas,Scheduled,VIC
MORTLK12,192217.21786,143144.011318158,185916.339906,Gen,Mortlake,Gas,Scheduled,VIC
MP1,88419.23576,79970.3631309523,88703.045594,Gen,Mt Piper,Black Coal,Scheduled,NSW
MP2,88419.23576,79970.3631309523,88703.045594,Gen,Mt Piper,Black Coal,Scheduled,NSW
MPP_1,92042.944197,69141.960559527,105246.192707,Gen,Millmerran,Black Coal,Scheduled,QLD
MPP_2,92042.944197,69141.960559527,105246.192707,Gen,Millmerran,Black Coal,Scheduled,QLD
MSTUART1,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MSTUART2,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MSTUART3,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MTGELWF1,187806.281717,178245.555198804,185916.339906,Gen,Mt Gellibrand Wind Farm,Wind,Semi-scheduled,VIC
MURRAY,119664.019179,105938.9464488,185916.339906,Gen,Murray,Hydro,Scheduled,VIC
MUSSELR1,306825.916509,228224.23310453,264590.034752,Gen,Musselroe Wind Farm,Wind,Semi-scheduled,TAS
