duid,alpha_mc,beta_mc,type,station,fuel_type,schedule_type,region
KPP_1,53.1842721961845,0.26971633818434,Gen,Kogan Creek,Black Coal,Scheduled,QLD
KSP1,53.0847575028687,0.183835436465721,Gen,Kidston Solar Stage 1,Solar,Semi-scheduled,QLD
LILYSF1,52.374791532531,0.18082239193815,Gen,Lilyvale Solar Farm,Solar,Semi-scheduled,QLD
MACKAYGT,493.005792644247,0.00637228694205474,Gen,Mackay,Liquid Fuel,Scheduled,QLD
MEWF1,52.2979099205327,0.181560763956575,Gen,Mount Emerald Wind Farm,Wind,Semi-scheduled,QLD
MPP_1,52.2897239255065,0.286226827628783,Gen,Millmerran,Black Coal,Scheduled,QLD
MPP_2,52.2897239255065,0.286226827628783,Gen,Millmerran,Black Coal,Scheduled,QLD
MSTUART1,460.775796691037,0.0070565759193569,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MSTUART2,460.775796691037,0.0070565759193569,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MSTUART3,460.775796691037,0.0070565759193569,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
OAKEY1,48.9309873927171,0.772602276634729,Gen,Oakey,Gas,Scheduled,QLD
OAKEY1SF,10.1200352496944,0.876423571769871,Gen,Oakey 1 Solar Farm,Solar,Semi-scheduled,QLD
OAKEY2,48.9309873927171,0.772602276634729,Gen,Oakey,Gas,Scheduled,QLD
OAKEY2SF,9.8779127307245,0.873172189915296,Gen,Oakey 2 Solar Farm,Solar,Semi-scheduled,QLD
PUMP1,10.5588654956621,0.872982647252396,Load,Wivenhoe,Pumped Hydro (Pumping),Scheduled,QLD
PUMP2,10.5588654956621,0.872982647252396,Load,Wivenhoe,Pumped Hydro (Pumping),Scheduled,QLD
ROMA_7,98.0315094293398,0.178425398416186,Gen,Roma,Gas,Scheduled,QLD
ROMA_8,98.0315094293398,0.178425398416186,Gen,Roma,Gas,Scheduled,QLD
RRSF1,52.9327629747996,0.182332797106016,Gen,Ross River Solar Farm,Solar,Semi-scheduled,QLD
RUGBYR1,53.1921898648816,0.185944259020455,Gen,Rugby Run Solar Farm,Solar,Semi-scheduled,QLD
SMCSF1,52.5492720711619,0.184058438864464,Gen,Sun Metals Solar Farm,Solar,Semi-scheduled,QLD
SRSF1,55.2330731378971,0.215248852544555,Gen,Susan River Solar Farm,Solar,Semi-scheduled,QLD
STAN-1,56.6502933745787,0.172959440024648,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-2,56.6502933745787,0.172959440024648,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-3,56.6502933745787,0.172959440024648,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-4,56.6502933745787,0.172959440024648,Gen,Stanwell,Black Coal,Scheduled,QLD
SWAN_B_1,13.6090159730834,0.852175441464953,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_2,13.6090159730834,0.852175441464953,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_3,13.6090159730834,0.852175441464953,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_4,13.6090159730834,0.852175441464953,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_E,23.488402699743,0.815723460697129,Gen,Swanbank,Gas,Scheduled,QLD
TARONG#1,54.1184312776368,0.267644193862893,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#2,54.1184312776368,0.267644193862893,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#3,54.1184312776368,0.267644193862893,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#4,54.1184312776368,0.267644193862893,Gen,Tarong,Black Coal,Scheduled,QLD
TNPS1,53.904869235453,0.268988980008369,Gen,Tarong North,Black Coal,Scheduled,QLD
W/HOE#1,10.561654896109,0.872989519549854,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
W/HOE#2,10.561654896109,0.872989519549854,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
WHITSF1,52.9782197594327,0.18226221332949,Gen,Whitsunday Solar Farm,Solar,Semi-scheduled,QLD
YABULU,69.6943835164175,0.138493762883863,Gen,Yabulu,Gas,Scheduled,QLD
YABULU2,69.6943883217031,0.138493551414066,Gen,Yabulu,Gas,Scheduled,QLD
YARWUN_1,42.3762825444959,0.780649934313055,Gen,Yarwun,Gas,Scheduled,QLD
AGLHAL,78.4121815461849,0.949852970196875,Gen,Hallett,Gas,Scheduled,SA
ANGAST1,454.101492799228,0.928715882920855,Gen,Angaston,Liquid Fuel,Scheduled,SA
BARKIPS1,48.2370320035416,0.966165405378128,Gen,Barker Inlet Power Station,Gas,Scheduled,SA
BLUFF1,2.94626107714495,0.977406971891596,Gen,The Bluff Wind Farm,Wind,Semi-scheduled,SA
BNGSF1,5.88510553592233,0.977205144762788,Gen,Bungala One Solar Farm,Solar,Semi-scheduled,SA
BNGSF2,5.92575611058499,0.977227252396291,Gen,Bungala Two Solar Farm,Solar,Semi-scheduled,SA
CLEMGPWF,3.68009180048007,0.977366008543317,Gen,Clements Gap Wind Farm,Wind,Semi-scheduled,SA
DALNTH01,8.58759040423925,0.97690096002905,Gen,Dalrymple North BESS,Battery (Discharge),Scheduled,SA
DALNTHL1,8.6339399590862,0.976903482948177,Load,Dalrymple North BESS,Battery (Charge),Scheduled,SA
DRYCGT1,67.1533602735117,0.963825004985907,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT2,67.1533602735117,0.963825004985907,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT3,67.1533602735117,0.963825004985907,Gen,Dry Creek,Gas,Scheduled,SA
HALLWF1,3.72441855967135,0.964521289024724,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HALLWF2,2.3028282057499,0.9772254724966,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HDWF1,4.20163164748682,0.964511619986679,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF2,4.20221754704925,0.964511520567052,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
