duid,alpha,beta,type,station,fuel_type,schedule_type,region
CLERMSF1,-201.846003682465,3.57071429318927,Gen,Clermont Solar Farm,Solar,Semi-scheduled,QLD
COOPGWF1,41.3986383006597,0.393775442676456,Gen,Coopers Gap Wind Farm,Wind,Semi-scheduled,QLD
FINLYSF1,-28.7810217892795,0.275993769362747,Gen,Finely Solar Farm,Solar,Semi-scheduled,NSW
DEVILS_G,54.9859540574474,0.090787807541697,Gen,Devils Gate,Hydro,Scheduled,TAS
OAKEY2SF,39.3951322078375,0.216587697744203,Gen,Oakey 2 Solar Farm,Solar,Semi-scheduled,QLD
BARKIPS1,19.5004601647983,0.708266607902677,Gen,Barker Inlet Power Station,Gas,Scheduled,SA
LBBL1,16.1008386111484,0.67795736306959,Load,Lake Bonney BESS1,Battery (Charge),Scheduled,SA
LBBG1,29.5786136577529,0.626738877544452,Gen,Lake Bonney BESS1,Battery (Discharge),Scheduled,SA
NEVERSF1,50.6291786479249,0.0849890940696935,Gen,NEVERTIRE SOLAR FARM,Solar,Semi-scheduled,NSW
LIMOSF21,48.4564953378949,0.0553456285168193,Gen,Limondale Solar Farm 2,Solar,Semi-scheduled,NSW
