duid,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region
FINLYSF1,127253.33066,100063.68048,99692.23835,116342.796338,89153.146158,88703.045594,Gen,Finely Solar Farm,Solar,Semi-scheduled,NSW
FISHER,282361.75079,267552.689785188,293943.94213,254516.411882,239707.350877188,264590.034752,Gen,Fisher,Hydro,Scheduled,TAS
GANNBG1,234822.0085,222206.14213,206924.92925,211513.011459,198897.145089,185916.339906,Gen,Gannawarra Energy Storage System,Battery (Discharge),Scheduled,VIC
GANNBL1,208445.03252,192094.04683,206924.92925,188179.587117,171828.601427,185916.339906,Load,Gannawarra Energy Storage System,Battery (Charge),Scheduled,VIC
GANNSF1,266306.52168,224578.77882,206924.92925,243055.441306,201327.698446,185916.339906,Gen,Gannawarra Solar Farm,Solar,Semi-scheduled,VIC
GORDON,328658.83797,310902.420922363,293943.94213,296466.196679,278709.044376648,264590.034752,Gen,Gordon,Hydro,Scheduled,TAS
GRANWF1,293762.61377,282822.295200856,293943.94213,264426.858634,253486.540064856,264590.034752,Gen,Granville Harbour Wind Farm,Wind,Semi-scheduled,TAS
GSTONE1,138187.28692,64749.1592295106,115495.10944,130514.200388,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE2,138187.28692,64749.1592295106,115495.10944,130514.200388,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE3,152440.22856,62711.0815191892,115495.10944,144977.974321,55067.9108967336,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE4,152440.22856,62711.0815191892,115495.10944,144977.974321,55067.9108967336,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE5,138187.28692,64749.1592295106,115495.10944,130514.200388,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE6,139211.83653,64749.1592295106,115495.10944,131538.749998,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GULLRSF1,111803.02709,111581.80989,99692.23835,99534.798982,99313.581782,88703.045594,Gen,Gullen Solar Farm,Solar,Semi-scheduled,NSW
GULLRWF1,111823.67109,111435.454586991,99692.23835,99555.442982,99167.2264789911,88703.045594,Gen,Gullen Range Wind Farm,Wind,Semi-scheduled,NSW
GUNNING1,110858.10664,109289.267681427,99692.23835,98804.736446,97235.8974874268,88703.045594,Gen,Gunning Wind Farm,Wind,Semi-scheduled,NSW
GUTHEGA,128515.55941,106367.492883357,99692.23835,117263.783484,95115.7169573575,88703.045594,Gen,Guthega,Hydro,Scheduled,NSW
HALLWF1,345261.13174,190713.145376217,303604.65897,325368.912397,170820.926033217,282293.884433,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HALLWF2,357263.19298,202271.29224856,303604.65897,336316.04692,181222.065000213,282293.884433,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HAMISF1,134205.549,72653.73748,115495.10944,126519.909913,64793.757543,105246.192707,Gen,Hamilton Solar Farm,Solar,Semi-scheduled,QLD
HAUGHT11,141303.85344,73051.47266,115495.10944,133545.82012,65119.09849,105246.192707,Gen,Haughton Solar Farm Stage 1 Units 1-81,Solar,Semi-scheduled,QLD
HAYMSF1,134075.05256,72685.39237,115495.10944,126389.459473,64825.458433,105246.192707,Gen,Hayman Solar Farm,Solar,Semi-scheduled,QLD
HDWF1,343788.72351,190850.369979689,303604.65897,323874.816955,170936.463424689,282293.884433,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF2,342788.72356,190850.369979689,303604.65897,322874.817005,170936.463424689,282293.884433,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF3,342788.72356,190850.369979689,303604.65897,322874.817005,170936.463424689,282293.884433,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HPRG1,292273.48469,177717.64927,303604.65897,273715.210534,159159.375114,282293.884433,Gen,Hornsdale Power Reserve,Battery (Discharge),Scheduled,SA
HPRL1,345122.51359,247182.199,303604.65897,319573.392135,221633.077545,282293.884433,Load,Hornsdale Power Reserve,Battery (Charge),Scheduled,SA
HUMENSW,243761.67915,239260.997026974,99692.23835,218609.516374,214108.834250974,88703.045594,Gen,Hume Hydro,Hydro,Scheduled,NSW
HUMEV,284431.58518,273885.449819734,206924.92925,255835.251431,245289.116070734,185916.339906,Gen,Hume,Hydro,Scheduled,VIC
HVGTS,99556.05403,64705.8454710272,99692.23835,88603.929645,53638.8119654591,88703.045594,Gen,Hunter Valley GT,Gas,Scheduled,NSW
HWPS1,206924.92925,197314.3702212,206924.92925,185916.339906,176305.7808772,185916.339906,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS2,206924.92925,197314.3702212,206924.92925,185916.339906,176305.7808772,185916.339906,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS3,206924.92925,197314.3702212,206924.92925,185916.339906,176305.7808772,185916.339906,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS4,206924.92925,197314.3702212,206924.92925,185916.339906,176305.7808772,185916.339906,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS5,206924.92925,197314.3702212,206924.92925,185916.339906,176305.7808772,185916.339906,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS6,206924.92925,197314.3702212,206924.92925,185916.339906,176305.7808772,185916.339906,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS7,206924.92925,197314.3702212,206924.92925,185916.339906,176305.7808772,185916.339906,Gen,Hazelwood,Brown Coal,Scheduled,VIC
HWPS8,206924.92925,197314.3702212,206924.92925,185916.339906,176305.7808772,185916.339906,Gen,Hazelwood,Brown Coal,Scheduled,VIC
JBUTTERS,300750.39318,279728.263769443,293943.94213,271736.009714,250713.880303443,264590.034752,Gen,John Butters,Hydro,Scheduled,TAS
JLA01,208292.52818,156949.742676152,206924.92925,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA02,208292.52818,156949.742676152,206924.92925,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA03,208292.52818,156949.742676152,206924.92925,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA04,208292.52818,156949.742676152,206924.92925,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang A,Gas,Scheduled,VIC
