duid,station,fuel_type,region,profit_lmp,profit_lmp_mc,profit_rrp,alpha_mc,beta_mc,lat,lon,profit_lmp_percentile,profit_lmp_mc_percentile,alpha_mc_percentile,beta_mc_percentile,commission_2019
GUNNING1,Gunning Wind Farm,Wind,NSW,98804.736446,97235.8974874268,88703.045594,3.32725201338495,0.990197599595168,-34.6958309,149.383175211,21,45,21,79,FALSE
GUTHEGA,Guthega,Hydro,NSW,117263.783484,95115.7169573575,88703.045594,-4.90836175570989,1.00308059773509,-36.350098,148.413528,30,45,1,97,FALSE
HALLWF1,Hallett Wind Farm,Wind,SA,325368.912397,170820.926033217,282293.884433,3.72441855967135,0.964521289024724,-33.348652,138.751659,95,70,23,58,FALSE
HALLWF2,Hallett Wind Farm,Wind,SA,336316.04692,181222.065000213,282293.884433,2.3028282057499,0.9772254724966,-33.348652,138.751659,98,81,19,68,FALSE
HAMISF1,Hamilton Solar Farm,Solar,QLD,126519.909913,64793.757543,105246.192707,52.9789029818622,0.182264431695068,,,37,17,69,15,FALSE
HAUGHT11,Haughton Solar Farm Stage 1 Units 1-81,Solar,QLD,133545.82012,65119.09849,105246.192707,52.8147183381979,0.187794986267653,,,45,21,67,18,TRUE
HAYMSF1,Hayman Solar Farm,Solar,QLD,126389.459473,64825.458433,105246.192707,53.000093386357,0.182259571285776,,,37,19,69,14,FALSE
HDWF1,Hornsdale Wind Farm,Wind,SA,323874.816955,170936.463424689,282293.884433,4.20163164748682,0.964511619986679,-33.042878,138.556285,95,71,23,57,FALSE
HDWF2,Hornsdale Wind Farm,Wind,SA,322874.817005,170936.463424689,282293.884433,4.20221754704925,0.964511520567052,-33.042878,138.556285,94,71,23,57,FALSE
HDWF3,Hornsdale Wind Farm,Wind,SA,322874.817005,170936.463424689,282293.884433,4.20221754704925,0.964511520567052,,,95,72,24,57,FALSE
HPRG1,Hornsdale Power Reserve,Battery (Discharge),SA,273715.210534,159159.375114,282293.884433,13.101731532132,0.901342142303894,,,76,66,32,48,FALSE
HPRL1,Hornsdale Power Reserve,Battery (Charge),SA,286844.406724,173432.570024,282293.884433,7.95738321241806,0.964170424800901,,,83,72,27,56,FALSE
HUMENSW,Hume Hydro,Hydro,NSW,218609.516374,214108.834250974,88703.045594,26.1566283719049,0.987281433807375,-36.106619,147.032622,68,90,46,75,FALSE
HUMEV,Hume,Hydro,VIC,255835.251431,245289.116070734,185916.339906,37.5181843368006,0.778257213909671,-36.106619,147.032622,73,95,53,35,FALSE
HVGTS,Hunter Valley GT,Gas,NSW,88603.929645,53638.8119654591,88703.045594,54.797561199359,0.914691179682626,-32.3892529999999,150.966396,5,6,77,48,FALSE
JBUTTERS,John Butters,Hydro,TAS,271736.009714,250713.880303443,264590.034752,13.2614972033554,0.850227279514693,-42.1548349999999,145.534477,76,97,34,38,FALSE
JLA01,Jeeralang A,Gas,VIC,187283.938836,135790.824103845,185916.339906,62.2480048894077,0.98722339172144,-38.275325,146.426296,54,51,87,73,FALSE
JLA02,Jeeralang A,Gas,VIC,187283.938836,135790.824103845,185916.339906,62.2480048894077,0.98722339172144,-38.275325,146.426296,54,51,87,73,FALSE
JLA03,Jeeralang A,Gas,VIC,187283.938836,135790.824103845,185916.339906,62.2480048894077,0.98722339172144,-38.275325,146.426296,55,52,87,73,FALSE
JLA04,Jeeralang A,Gas,VIC,187283.938836,135790.824103845,185916.339906,62.2480048894077,0.98722339172144,-38.275325,146.426296,55,52,88,74,FALSE
JLB01,Jeeralang B,Gas,VIC,187283.938836,135790.824103845,185916.339906,62.2480048894077,0.98722339172144,-38.274626,146.424923,56,52,88,74,FALSE
JLB02,Jeeralang B,Gas,VIC,187283.938836,135790.824103845,185916.339906,62.2480048894077,0.98722339172144,-38.274626,146.424923,56,53,89,74,FALSE
JLB03,Jeeralang B,Gas,VIC,187283.938836,135790.824103845,185916.339906,62.2480048894077,0.98722339172144,-38.274626,146.424923,56,53,89,75,FALSE
KAREEYA1,Kareeya,Hydro,QLD,128062.939713,63530.5463752789,105246.192707,53.7011321667638,0.180224226602025,-17.7670019999999,145.577865,39,15,72,10,FALSE
KAREEYA2,Kareeya,Hydro,QLD,128062.939713,63530.5463752789,105246.192707,53.7011321667638,0.180224226602025,-17.7670019999999,145.577865,39,15,72,10,FALSE
KAREEYA3,Kareeya,Hydro,QLD,128062.939713,63530.5463752789,105246.192707,53.7011321667638,0.180224226602025,-17.7670019999999,145.577865,39,16,73,11,FALSE
KAREEYA4,Kareeya,Hydro,QLD,128062.939713,63530.5463752789,105246.192707,53.7011321667638,0.180224226602025,-17.7670019999999,145.577865,40,16,73,11,FALSE
KARSF1,Karadoc Solar Farm,Solar,VIC,226490.643213,191687.569173,185916.339906,26.3686707693693,0.717856471034363,,,69,87,48,28,FALSE
KIATAWF1,Kiata Wind Farm,Wind,VIC,215665.437738,200747.093143957,185916.339906,22.600369475873,0.752069417178481,,,68,88,42,31,FALSE
KPP_1,Kogan Creek,Black Coal,QLD,90416.216058,66019.2877407795,105246.192707,53.1842721961845,0.26971633818434,-26.917683333,150.749283333,11,23,70,23,FALSE
KSP1,Kidston Solar Stage 1,Solar,QLD,124132.823101,64859.720071,105246.192707,53.0847575028687,0.183835436465721,,,32,20,70,16,FALSE
LADBROK1,Ladbroke Grove,Gas,SA,313521.153397,153122.082776239,282293.884433,57.5341394352548,0.89098131890262,-37.456673,140.782692,93,65,86,48,FALSE
LADBROK2,Ladbroke Grove,Gas,SA,309539.321829,149140.247228239,282293.884433,57.5504422702628,0.889505270875177,-37.456673,140.782692,90,61,86,47,FALSE
LAVNORTH,Laverton,Gas,VIC,185916.339906,147137.442793448,185916.339906,31.2967152239598,0.991370207032961,,,51,60,52,83,FALSE
LBBG1,Lake Bonney BESS1,Battery (Discharge),SA,276468.794728,175069.650018,282293.884433,16.3551957715203,0.877196562807093,,,77,74,39,46,TRUE
LBBL1,Lake Bonney BESS1,Battery (Charge),SA,274085.161728,172686.017018,282293.884433,18.4754411697545,0.852128228922885,,,77,72,40,39,TRUE
LD01,Liddell,Black Coal,NSW,88603.929645,85773.8338067119,88703.045594,0.297122204118704,0.997311794619105,-32.3712669999999,150.97757,6,36,7,86,FALSE
LD02,Liddell,Black Coal,NSW,88603.929645,85773.8338067119,88703.045594,0.297122204118704,0.997311794619105,-32.3712669999999,150.97757,6,36,8,87,FALSE
LD03,Liddell,Black Coal,NSW,88603.929645,85773.8338067119,88703.045594,0.297122204118704,0.997311794619105,-32.3712669999999,150.97757,6,36,8,87,FALSE
LD04,Liddell,Black Coal,NSW,88603.929645,85773.8338067119,88703.045594,0.297122204118704,0.997311794619105,-32.3712669999999,150.97757,7,37,8,87,FALSE
LEM_WIL,Lemonthyme,Hydro,TAS,254516.411882,239707.350877188,264590.034752,13.640986138783,0.853019288605069,-41.603763,146.139022,72,94,38,41,FALSE
LGAPWF1,Lincoln Gap Wind Farm,Wind,SA,326027.110334,181907.370168375,282293.884433,3.43485732080367,0.977381200924893,,,96,82,21,71,TRUE
LI_WY_CA,Liapootah Wayatinah Catagunya Aggregate,Hydro,TAS,303266.132085,283659.6904898,264590.034752,22.8033877640275,0.769890595798186,-42.4523809999999,146.597687,89,100,43,33,FALSE
LILYSF1,Lilyvale Solar Farm,Solar,QLD,134228.243418,64872.343158,105246.192707,52.374791532531,0.18082239193815,,,46,20,64,12,TRUE
LIMOSF21,Limondale Solar Farm 2,Solar,NSW,88742.083184,88516.400074,88703.045594,0.00646616917090488,0.999950642778413,,,8,43,3,97,TRUE
LK_ECHO,Lake Echo,Hydro,TAS,289380.71061,265711.214971892,264590.034752,26.2559479208448,0.72307501533137,-42.253702,146.620699,85,99,47,28,FALSE
LKBONNY2,Lake Bonney Stage 2,Wind,SA,341457.288185,180631.486670474,282293.884433,10.4859783581499,0.870348265356355,-37.771349882,140.398083927,99,81,29,43,FALSE
LKBONNY3,Lake Bonney Stage 3,Wind,SA,327840.129867,167862.443576909,282293.884433,10.3433121350847,0.870352548507101,-37.771349882,140.398083927,96,68,29,44,FALSE
LNGS1,Laverton,Gas,VIC,188021.855701,149566.513322711,185916.339906,31.5501730051048,0.991195314522929,-37.84158,144.788711,62,62,52,82,FALSE
LNGS2,Laverton,Gas,VIC,188021.855701,149566.513322711,185916.339906,31.5501730051048,0.991195314522929,-37.84158,144.788711,62,62,53,82,FALSE
LONSDALE,Lonsdale,Liquid Fuel,SA,282293.884433,85906.019229926,282293.884433,453.842417716089,0.927975841822364,-35.1096685539999,138.491006821,79,37,97,49,FALSE
LOYYB1,Loy Yang B,Brown Coal,VIC,187283.938836,176556.237013308,185916.339906,0.610350060688008,0.999033315608951,-38.256447,146.58637,57,75,10,92,FALSE
