duid,alpha,beta,type,station,fuel_type,schedule_type,region
STAN-2,16.5613825665882,0.131755239315093,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-3,16.5613825665882,0.131755239315093,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-4,16.5613825665882,0.131755239315093,Gen,Stanwell,Black Coal,Scheduled,QLD
SWAN_B_1,-5.37468482562952e-12,1.00000000000007,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_2,-5.37468482562952e-12,1.00000000000007,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_3,-5.37468482562952e-12,1.00000000000007,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_4,-5.37468482562952e-12,1.00000000000007,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_E,0.00278940043955756,1.00000687229756,Gen,Swanbank,Gas,Scheduled,QLD
TARONG#1,44.6380797912173,0.365563260399334,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#2,44.6380797912173,0.365563260399334,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#3,44.6380797912173,0.365563260399334,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#4,44.6380797912173,0.365563260399334,Gen,Tarong,Black Coal,Scheduled,QLD
TNPS1,44.6380797912173,0.365563260399334,Gen,Tarong North,Black Coal,Scheduled,QLD
W/HOE#1,0.00278940043955756,1.00000687229756,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
W/HOE#2,0.00278940043955756,1.00000687229756,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
WHITSF1,16.3885767334884,0.129793877180315,Gen,Whitsunday Solar Farm,Solar,Semi-scheduled,QLD
YABULU,16.4017738086499,0.129278882270526,Gen,Yabulu,Gas,Scheduled,QLD
YABULU2,16.4017484537195,0.129277842284277,Gen,Yabulu,Gas,Scheduled,QLD
YARANSF1,-5.37468482562952e-12,1.00000000000007,Gen,Yarranlea Solar Farm,Solar,Semi-scheduled,QLD
