duid,alpha_mc,beta_mc,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region,station_name,lat,lon,dispatch_type,classification,alpha_mc_percentile,beta_mc_percentile,profit_lmp_percentile,profit_lmp_mc_percentile,profit_lmp_90_percentile,profit_lmp_mc_90_percentile
BRAEMAR2,98.0266485721131,0.178505846826741,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 1,Gas,Scheduled,QLD,Braemar Power Station,-27.1109339999999,150.905337,Generator,Scheduled,95,7,12,3,15,3
BRAEMAR3,98.0266485721131,0.178505846826741,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 1,Gas,Scheduled,QLD,Braemar Power Station,-27.1109339999999,150.905337,Generator,Scheduled,95,7,13,3,16,3
BRAEMAR5,98.0266485721131,0.178505846826741,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 2,Gas,Scheduled,QLD,Braemar 2 Power Station,-27.112811268,150.904878261,Generator,Scheduled,96,8,13,4,16,3
BRAEMAR6,98.0266485721131,0.178505846826741,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 2,Gas,Scheduled,QLD,Braemar 2 Power Station,-27.112811268,150.904878261,Generator,Scheduled,96,8,13,4,16,4
BRAEMAR7,98.0266485721131,0.178505846826741,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 2,Gas,Scheduled,QLD,Braemar 2 Power Station,-27.112811268,150.904878261,Generator,Scheduled,96,8,14,4,17,4
CALL_A_2,13.5919091932824,0.852320505489073,115495.10944,86797.6267227122,115495.10944,105246.192707,76548.7099897122,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD,,,,,,40,37,23,27,23,28
CALL_B_1,55.8474445299212,0.181138570770464,132180.71798,67159.1718845007,115495.10944,124426.428897,59225.0139479219,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD,Callide B Power Station,-24.3448799999999,150.619749,Generator,Scheduled,80,11,33,10,33,11
CALL_B_2,55.8474445299212,0.181138570770464,132180.71798,67159.1718845007,115495.10944,124426.428897,59225.0139479219,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD,Callide B Power Station,-24.3448799999999,150.619749,Generator,Scheduled,81,11,33,11,34,11
CHILDSF1,55.2536123464867,0.215621768112573,110995.27752,77238.71063,115495.10944,102627.32782,68870.76093,105246.192707,Gen,Childers Solar Farm,Solar,Semi-scheduled,QLD,,,,,,79,17,21,22,23,23
CLARESF1,53.0516249995127,0.183909671404161,131947.2453,72804.39587,115495.10944,124247.785021,64930.594741,105246.192707,Gen,Clare Solar Farm,Solar,Semi-scheduled,QLD,,,,,,72,15,33,19,33,19
CLERMSF1,49.3630757695887,0.258596789777178,128374.70353,78374.21111,115495.10944,120026.410076,69851.576806,105246.192707,Gen,Clermont Solar Farm,Solar,Semi-scheduled,QLD,,,,,,65,18,31,24,32,24
COLNSV_1,13.6519586832758,0.851970158457876,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD,,,,,,43,34,23,26,23,26
COLNSV_2,13.6519586832758,0.851970158457876,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD,,,,,,43,35,24,26,24,26
COLNSV_3,13.6519586832758,0.851970158457876,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD,,,,,,43,35,24,26,24,27
COLNSV_4,13.6519586832758,0.851970158457876,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD,,,,,,44,35,24,27,24,27
COLNSV_5,13.6519586832758,0.851970158457876,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD,,,,,,44,36,25,27,25,27
COOPGWF1,52.128775020043,0.280643974378285,100619.14445,79713.5589270066,115495.10944,91872.431929,70966.8464060066,105246.192707,Gen,Coopers Gap Wind Farm,Wind,Semi-scheduled,QLD,,,,,,66,21,11,24,14,24
CPP_3,55.8085010110873,0.181272359697346,132180.71798,67236.5936857101,115495.10944,124426.428897,59302.4869491706,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD,Callide Power Plant,-24.3340249999999,150.627973,Generator,Scheduled,80,12,34,11,34,11
CPP_4,55.8085010110873,0.181272359697346,132180.71798,67236.5936857101,115495.10944,124426.428897,59302.4869491706,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD,Callide Power Plant,-24.3340249999999,150.627973,Generator,Scheduled,80,12,34,11,34,12
CPSA,64.3857419234079,0.227309570573092,100638.15662,62795.0875335481,115495.10944,91891.747789,54048.6787025481,105246.192707,Gen,Condamine,Gas,Scheduled,QLD,Condamine Power Station A,-26.6682222119999,150.270014465,Generator,Scheduled,91,18,11,6,14,6
CSPVPS1,52.7094818155072,0.182810457157028,191967.0173,73376.72311,115495.10944,184283.504199,65518.869159,105246.192707,Gen,Collinsville Solar PV,Solar,Semi-scheduled,QLD,,,,,,69,14,48,20,49,20
DAYDSF1,52.9994138022486,0.182256981359269,134063.16256,72685.39237,115495.10944,126377.569473,64825.458433,105246.192707,Gen,Daydream Solar Farm,Solar,Semi-scheduled,QLD,,,,,,72,13,36,17,36,17
DDPS1,66.0361146676632,0.223237281411784,100646.31143,61857.5812565916,115495.10944,91898.468118,53109.7379445916,105246.192707,Gen,Darling Downs,Gas,Scheduled,QLD,Darling Downs Power Station,-27.116891413,150.894217018,Generator,Scheduled,91,18,14,5,17,5
DDSF1,51.9088991130058,0.282603582656222,100646.31143,80105.55265,115495.10944,91898.468118,71357.709338,105246.192707,Gen,Darling Downs Solar Farm,Solar,Semi-scheduled,QLD,,,,,,66,22,14,25,17,25
EMERASF1,52.8540985682543,0.182887493348368,139126.23592,72704.62148,115495.10944,131439.430186,64843.474896,105246.192707,Gen,Emerald Solar Park,Solar,Semi-scheduled,QLD,,,,,,70,15,42,17,44,18
GSTONE1,57.0970900836462,0.165221936839982,138187.28692,64749.1592295106,115495.10944,130514.200388,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD,Gladstone Power Station,-23.8507529999999,151.218653,Generator,Scheduled,86,4,41,7,42,8
GSTONE2,57.0970900836462,0.165221936839982,138187.28692,64749.1592295106,115495.10944,130514.200388,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD,Gladstone Power Station,-23.8507529999999,151.218653,Generator,Scheduled,86,4,42,7,43,8
GSTONE3,57.0492947547681,0.154942769933015,152440.22856,62711.0815191892,115495.10944,144977.974321,55067.9108967336,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD,Gladstone Power Station,-23.8507529999999,151.218653,Generator,Scheduled,85,3,46,6,46,6
GSTONE4,57.0492947547681,0.154942769933015,152440.22856,62711.0815191892,115495.10944,144977.974321,55067.9108967336,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD,Gladstone Power Station,-23.8507529999999,151.218653,Generator,Scheduled,85,3,46,6,46,7
GSTONE5,57.0970900836462,0.165221936839982,138187.28692,64749.1592295106,115495.10944,130514.200388,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD,Gladstone Power Station,-23.8507529999999,151.218653,Generator,Scheduled,87,4,42,8,43,8
GSTONE6,57.0970827605117,0.165144182971782,139211.83653,64749.1592295106,115495.10944,131538.749998,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD,Gladstone Power Station,-23.8507529999999,151.218653,Generator,Scheduled,86,3,43,8,44,9
HAMISF1,52.9789029818622,0.182264431695068,134205.549,72653.73748,115495.10944,126519.909913,64793.757543,105246.192707,Gen,Hamilton Solar Farm,Solar,Semi-scheduled,QLD,,,,,,71,14,37,16,37,16
HAUGHT11,52.8147183381979,0.187794986267653,141303.85344,73051.47266,115495.10944,133545.82012,65119.09849,105246.192707,Gen,Haughton Solar Farm Stage 1 Units 1-81,Solar,Semi-scheduled,QLD,,,,,,70,16,43,19,44,19
HAYMSF1,53.000093386357,0.182259571285776,134075.05256,72685.39237,115495.10944,126389.459473,64825.458433,105246.192707,Gen,Hayman Solar Farm,Solar,Semi-scheduled,QLD,,,,,,72,13,36,17,37,17
KAREEYA1,53.7011321667638,0.180224226602025,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD,Kareeya Power Station,-17.7670019999999,145.577865,Generator,Scheduled,74,9,38,12,38,14
KAREEYA2,53.7011321667638,0.180224226602025,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD,Kareeya Power Station,-17.7670019999999,145.577865,Generator,Scheduled,75,9,38,13,39,14
KAREEYA3,53.7011321667638,0.180224226602025,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD,Kareeya Power Station,-17.7670019999999,145.577865,Generator,Scheduled,75,10,39,13,39,14
KAREEYA4,53.7011321667638,0.180224226602025,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD,Kareeya Power Station,-17.7670019999999,145.577865,Generator,Scheduled,75,10,39,13,39,15
KPP_1,53.1842721961845,0.26971633818434,98882.39406,74485.4657427795,115495.10944,90416.216058,66019.2877407795,105246.192707,Gen,Kogan Creek,Black Coal,Scheduled,QLD,Kogan Creek Power Station,-26.917683333,150.749283333,Generator,Scheduled,73,21,1,20,12,21
KSP1,53.0847575028687,0.183835436465721,131832.24538,72733.4832,115495.10944,124132.823101,64859.720071,105246.192707,Gen,Kidston Solar Stage 1,Solar,Semi-scheduled,QLD,,,,,,73,15,32,18,33,18
LILYSF1,52.374791532531,0.18082239193815,141913.81656,72732.25715,115495.10944,134228.243418,64872.343158,105246.192707,Gen,Lilyvale Solar Farm,Solar,Semi-scheduled,QLD,,,,,,67,11,44,18,45,18
MACKAYGT,493.005792644247,0.00637228694205474,135747.14541,4931.20898801178,115495.10944,128061.506323,-13571.5054218963,105246.192707,Gen,Mackay,Liquid Fuel,Scheduled,QLD,Mackay Gas Turbine,-21.1445659999999,149.159097,Generator,Scheduled,100,1,37,1,38,1
